
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan 10 12:20:25 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        CONSENSUS_WEIGHT_FRAC
Netcetera Ltd. (1)                                       0.0%
EDSI-Tech Sarl (1)                                       0.0%
Association GRIFON (1)                                   0.0%
Net-style Atarim Ltd (2)                                 0.0%
mhs internet AG (1)                                      0.0%
Dreamscape Networks Limited (2)                          0.0%
Servicos De Comunicacoes E Multimedia S.A. (3)           0.0%
Telesystems of Ukraine LLC (1)                           0.0%
Occino GmbH (1)                                          0.0%
ALDIS Telecom Ltd (1)                                    0.0%
HitMe.pl Marek Bajerski (1)                              0.0%
Interhost Communication Solutions Ltd. (1)               0.0%
ISP Fregat Ltd. (2)                                      0.0%
Digit One LLC (1)                                        0.0%
NTT Communications Corporation (4)                       0.0%
Vivacom (1)                                              0.0%
Mythic Beasts Ltd (1)                                    0.0%
LeapSwitch Networks Pvt Ltd (2)                          0.0%
Deteque LLC (1)                                          0.0%
ESDS Software Solution Pvt. Ltd. (1)                     0.0%
Nos Comunicacoes, S.A. (4)                               0.0%
MYREPUBLIC PTY LTD (1)                                   0.0%
SkyLink Data Center BV (1)                               0.0%
Sibinet, Ltd. (1)                                        0.0%
VNET a.s. (1)                                            0.0%
Rogers Communications Canada Inc. (2)                    0.0%
National Computer Systems Co Ltd (1)                     0.0%
National Central University (1)                          0.0%
NTT PC Communications, Inc. (3)                          0.0%
Hostway Services, Inc. (1)                               0.0%
WIBO Baltic UAB (1)                                      0.0%
Companhia de Telecomunicacoes de Macau SARL (1)          0.0%
Axtel, S.A.B. de C.V. (1)                                0.0%
DoclerWeb Kft. (1)                                       0.0%
CallPlus Services Limited (3)                            0.0%
Virtono Networks SRL (2)                                 0.0%
Edutel BV (2)                                            0.0%
Mittwald CM Service GmbH und Co.KG (1)                   0.0%
ViaWest (1)                                              0.0%
htp GmbH (2)                                             0.0%
UNIVERSIDADE ESTADUAL DE CAMPINAS (1)                    0.0%
ABC Domain LLC (1)                                       0.0%
Yahoo Japan Corporation (1)                              0.0%
Skynet Sp. J. Krzysztof Skorupski, Filip Bacciarel (1)   0.0%
University of California at Berkeley (1)                 0.0%
Vodafone NZ Ltd. (2)                                     0.0%
One.com A/S (1)                                          0.0%
CloudVPS B.V. (3)                                        0.0%
New Wave Communications (1)                              0.0%
Verein zur Foerderung freier Netze (ZVR: 814804682 (1)   0.0%
CONTINENTAL BROADBAND PENNSYLVANIA, INC. (1)             0.0%
Starry Network Limited (1)                               0.0%
T-Mobile Austria GmbH (1)                                0.0%
CMC Telecom Infrastructure Company (1)                   0.0%
BEST-NET s.r.o. (1)                                      0.0%
Centro Educacional Nossa Senhora Auxiliadora (1)         0.0%
SnapServ Ltd (1)                                         0.0%
Trustica s.r.o. (2)                                      0.0%
FIBIA P/S (1)                                            0.0%
Heinlein-Support GmbH (1)                                0.0%
eTOP sp. z o.o. (1)                                      0.0%
Nette sp. z o.o. (1)                                     0.0%
SIA Lattelecom (1)                                       0.0%
IT7 Networks Inc (1)                                     0.0%
Inforoom Ltd. (1)                                        0.0%
KDDI CORPORATION (3)                                     0.0%
Argon Data Communication (2)                             0.0%
Net Onboard Sdn Bhd - Quality & Reliable Cloud Hos (1)   0.0%
Euronet Norbert Saniewski Spolka Jawna (1)               0.0%
Rackspace Ltd. (2)                                       0.0%
Starman AS (1)                                           0.0%
Utelisys Communications B.V. (1)                         0.0%
HostMySite (1)                                           0.0%
TAZ Verlags- und Vertriebs GmbH (2)                      0.0%
AS250.net Foundation (1)                                 0.0%
Novus Entertainment Inc. (1)                             0.0%
hd.net.nz (1)                                            0.0%
Cincinnati Bell Telephone Company LLC (1)                0.0%
TPG Telecom Limited (6)                                  0.0%
Philippine Long Distance Telephone Company (1)           0.0%
CHT Compamy Ltd (4)                                      0.0%
Citycable (1)                                            0.0%
dogado GmbH (1)                                          0.0%
Brightbox Systems Ltd (1)                                0.0%
Manuel Wannemacher (1)                                   0.0%
ARDH GLOBAL INDONESIA, PT (1)                            0.0%
Host Palace Internet Services (1)                        0.0%
Sonic Telecom LLC (3)                                    0.0%
Tim Celular S.A. (1)                                     0.0%
WEST CALL SPb LLC (1)                                    0.0%
Dial Telecom, a.s. (2)                                   0.0%
Suddenlink Communications (1)                            0.0%
Xirra GmbH (1)                                           0.0%
York University (1)                                      0.0%
Atlantic Broadband Finance, LLC (1)                      0.0%
komro GmbH (1)                                           0.0%
Telstra Pty Ltd (6)                                      0.0%
Telecable de Asturias,SA (1)                             0.0%
North State Telephone Co. (1)                            0.0%
NextGenTel AS (3)                                        0.0%
SWITCH (2)                                               0.0%
JSC RTComm.RU (2)                                        0.0%
Buzinessware FZCO (1)                                    0.0%
Fork Networking, LLC (1)                                 0.0%
EBOX (2)                                                 0.0%
UGMK-Telecom LLC (1)                                     0.0%
Virtual Citadel Inc. (1)                                 0.0%
TELEFÓNICA CHILE S.A. (1)                               0.0%
Freenet Ltd. (1)                                         0.0%
Euronet Communications B.V. (1)                          0.0%
encoLine GmbH (1)                                        0.0%
Orange Slovensko a.s. (2)                                0.0%
UCOM Corp. (1)                                           0.0%
Reliance Communications Ltd.DAKC MUMBAI (1)              0.0%
rh-tec Business GmbH (3)                                 0.0%
PCextreme B.V. (1)                                       0.0%
PrimaCom Berlin GmbH (3)                                 0.0%
Redcom-Internet Inc. (1)                                 0.0%
Prometey LLC (1)                                         0.0%
Regional Information Technologies Ltd. (1)               0.0%
SWAN, a.s. (1)                                           0.0%
GARS Telecom - Telecommunications Management LLC (1)     0.0%
Vodafone Portugal - Communicacoes Pessoais S.A. (1)      0.0%
Asahi Net (1)                                            0.0%
TELEFÔNICA BRASIL S.A (5)                               0.0%
Arcade Solutions AG (1)                                  0.0%
SkipLink, LLC (1)                                        0.0%
Clouvider Limited (1)                                    0.0%
Spirit Telecom (Australia) Pty Ltd (1)                   0.0%
Nessus GmbH (2)                                          0.0%
ARTERIA Networks Corporation (1)                         0.0%
IP TELECOM GLOBAL (2)                                    0.0%
Bowdoin College (1)                                      0.0%
Summit Internet (Australia) (1)                          0.0%
Cloudie Limited (8)                                      0.0%
Grande Communications Networks, LLC (1)                  0.0%
Serbia BroadBand-Srpske Kablovske mreze d.o.o. (1)       0.0%
Orange Polska Spolka Akcyjna (2)                         0.0%
iiNet Limited (1)                                        0.0%
Metronet telekomunikacije d.d. (1)                       0.0%
CLARO S.A. (5)                                           0.0%
Ic-voronezh (1)                                          0.0%
City of Tacoma (1)                                       0.0%
Loveservers LTD (1)                                      0.0%
Consolidated Communications, Inc. (1)                    0.0%
Colo4, LLC (2)                                           0.0%
LLC TOMTEL (1)                                           0.0%
QSC AG (7)                                               0.0%
Aalto University Student Union (1)                       0.0%
Hiawatha Broadband Communications, Inc (1)               0.0%
Zyztm Research Division 10 B.V. (1)                      0.0%
Nexeon Technologies, Inc. (1)                            0.0%
Dennis Rainer Warnholz trading as active-servers.c (1)   0.0%
ImproWare AG (3)                                         0.0%
Spark Ventures (1)                                       0.0%
VELTON.TELECOM Ltd (1)                                   0.0%
Ellijay Telephone Company (1)                            0.0%
PCCW Limited (1)                                         0.0%
LIWEST Kabelmedien GmbH (1)                              0.0%
Sun Network (Hong Kong) Limited - HongKong Backbon (1)   0.0%
Electric Plant Board of the City of Glasgow, Kentu (1)   0.0%
Long Lines Internet (1)                                  0.0%
iCONNECT (1)                                             0.0%
Vibe Communications LTD (1)                              0.0%
Dansk Net A/S (1)                                        0.0%
365 Online technology joint stock company (1)            0.0%
OnX Enterprise Solutions Inc. (1)                        0.0%
Novotelecom Ltd (4)                                      0.0%
JMDI Jacek Maleszko (1)                                  0.0%
Infobunker, L.L.C. (2)                                   0.0%
WTT HK Limited (1)                                       0.0%
Videotron Telecom Ltee (2)                               0.0%
skHosting.eu s.r.o. (1)                                  0.0%
BEK Communications Cooperative (1)                       0.0%
RFTkabel Brandenburg GmbH (1)                            0.0%
ENTEGA Medianet GmbH (2)                                 0.0%
PT. Raja Sepadan Abadi (1)                               0.0%
Ratt Internet Kapacitet i Sverige AB (1)                 0.0%
Cogeco Cable (1)                                         0.0%
Liquid Web, L.L.C (1)                                    0.0%
Andorra Telecom Sau (1)                                  0.0%
The Corporation for Financing & Promoting Technolo (1)   0.0%
uvensys GmbH (3)                                         0.0%
SHYAM SPECTRA PVT LTD (2)                                0.0%
Sigterm Mikal Villa (1)                                  0.0%
HostSlim BV (1)                                          0.0%
OPTINET (2)                                              0.0%
Cloud South (1)                                          0.0%
ENTEL CHILE S.A. (1)                                     0.0%
TELTA Citynetz GmbH (1)                                  0.0%
Consortium GARR (1)                                      0.0%
Nodes Direct (1)                                         0.0%
Multimedia Polska S.A. (1)                               0.0%
TELEKOM SRBIJA a.d. (1)                                  0.0%
California State University, Office of the Chancel (1)   0.0%
Origin Broadband Limited (1)                             0.0%
Ginernet S.l. (1)                                        0.0%
FreeBit Co.,Ltd. (1)                                     0.0%
Telenor A/S (1)                                          0.0%
R Cable y Telecomunicaciones Galicia, S.A. (1)           0.0%
Jisc Services Limited (1)                                0.0%
SkyMesh Pty Ltd (2)                                      0.0%
Dery Telecom Inc. (1)                                    0.0%
ServeNET Solution Limited Partnership (1)                0.0%
iTools JSC (1)                                           0.0%
CABO SERVICOS DE TELECOMUNICACOES LTDA (1)               0.0%
Prima S.A. (2)                                           0.0%
Hosting Ukraine LTD (2)                                  0.0%
Next Layer Telekommunikationsdienstleistungs- und  (1)   0.0%
JSC Kazakhtelecom (1)                                    0.0%
Lightup Network Solutions GmbH & Co. KG (3)              0.0%
TAL.DE Klaus Internet Service GmbH (2)                   0.0%
PJSC Ukrtelecom (2)                                      0.0%
Windstream Communications LLC (2)                        0.0%
PODA a.s. (1)                                            0.0%
HL komm Telekommunikations GmbH (1)                      0.0%
Midcontinent Communications (1)                          0.0%
DIGI Tavkozlesi es Szolgaltato Kft. (3)                  0.0%
Tyfon (1)                                                0.0%
AMSNET Andrzej Szreter (1)                               0.0%
TRICOM (1)                                               0.0%
Nej.cz s.r.o. (1)                                        0.0%
NedZone Internet BV (1)                                  0.0%
VTR BANDA ANCHA S.A. (1)                                 0.0%
Tiscali SpA (2)                                          0.0%
DataCorpore Serviços e Representações (1)             0.0%
Ooredoo Q.S.C. (1)                                       0.0%
Rychly drat, s.r.o. (1)                                  0.0%
TBayTel (1)                                              0.0%
manitu GmbH (1)                                          0.0%
Kangaroot BVBA (1)                                       0.0%
PS Internet Company LLC (2)                              0.0%
Airstream Communications, LLC (1)                        0.0%
LigaLink, Ltd. (1)                                       0.0%
Kcom (1)                                                 0.0%
Iberbanda S.A. (1)                                       0.0%
Vienna University Computer Center (1)                    0.0%
Speedbone Internet & Connectivity GmbH (1)               0.0%
Individual Entrepreneur Tetiana Markova (1)              0.0%
Conseev LLC (1)                                          0.0%
Biddeford Internet Corp (2)                              0.0%
OAO Osnova Telecom (1)                                   0.0%
Bergon Internet Ltd. (1)                                 0.0%
Elkdata OU (1)                                           0.0%
Corporate Colocation Inc. (1)                            0.0%
Orange Belgium SA (1)                                    0.0%
Source XS B.V. (1)                                       0.0%
ConSol Consulting & Solutions Software GmbH (1)          0.0%
Telecel S.A. (1)                                         0.0%
Gtd Internet S.A. (1)                                    0.0%
Host Virtual, Inc (1)                                    0.0%
Connexions4London Ltd (4)                                0.0%
Nebula Oy (2)                                            0.0%
Nexinto GmbH (1)                                         0.0%
Tarr Kft. (1)                                            0.0%
Hostpro Ltd. (1)                                         0.0%
Synergy Internet Services Florida (1)                    0.0%
B2B2C Inc (1)                                            0.0%
Cablenet Communication Systems Ltd (1)                   0.0%
Exa Networks Limited (1)                                 0.0%
IS (1)                                                   0.0%
Fiber 1 Ltd. (1)                                         0.0%
CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT E (1)   0.0%
Closed Joint Stock Company SibTransTelecom (1)           0.0%
Symphony Communication (Thailand) PCL. (2)               0.0%
NetStack-AS (1)                                          0.0%
Vladivostokskaya Set LTD (1)                             0.0%
Spoldzielnia Telekomunikacyjna OST (1)                   0.0%
Viettel Group (1)                                        0.0%
Hathway IP Over Cable Internet (1)                       0.0%
Primus Telecommunications (1)                            0.0%
FortressITX (1)                                          0.0%
Intelsc Ltd. (1)                                         0.0%
VSE NET GmbH (1)                                         0.0%
itself s.r.o. (1)                                        0.0%
7heaven LLC (1)                                          0.0%
Tunisia BackBone AS (2)                                  0.0%
Colombia Móvil (1)                                      0.0%
NetNet (1)                                               0.0%
EastLink (1)                                             0.0%
Green Web Samaneh Novin Co Ltd (1)                       0.0%
BIGLOBE Inc. (1)                                         0.0%
Quadrant Televentures Limited (1)                        0.0%
netplus.ch SA (1)                                        0.0%
Koumbit (1)                                              0.0%
Chaos Computer Club e.V. (1)                             0.0%
Aureon Network Services (1)                              0.0%
Riseup Networks (1)                                      0.0%
Ojsc oao Tattelecom (1)                                  0.0%
Telecom Algeria (1)                                      0.0%
ManagedWay (1)                                           0.0%
Euskaltel S.A. (1)                                       0.0%
Limestone Networks, Inc. (1)                             0.0%
AlpineDC SA (1)                                          0.0%
Rethem Hosting LLC (1)                                   0.0%
NSS S.A. (1)                                             0.0%
ANGANI-AS (1)                                            0.0%
FIRENET SERVIÇOS DE TELECOMUNICAÇÕES LTDA (1)         0.0%
Cyprus Telecommunications Authority (2)                  0.0%
Balnet Ltd. (1)                                          0.0%
PT Cloud Hosting Indonesia (1)                           0.0%
mitko.com Eood (1)                                       0.0%
SECURED SERVERS LLC (1)                                  0.0%
JEFFERSON CO. CABLE, INC. (1)                            0.0%
Panamaserver.com (1)                                     0.0%
Image TV Ltd (1)                                         0.0%
Wobcom GmbH (3)                                          0.0%
FUJITSU LIMITED (1)                                      0.0%
Softbank BB Corp. (2)                                    0.0%
Vodafone Czech Republic a.s. (1)                         0.0%
RCL CJSC (1)                                             0.0%
Ruscom Ltd. (1)                                          0.0%
Manx Telecom (1)                                         0.0%
Melita plc. (1)                                          0.0%
Mahanagar Telephone Nigam Limited (1)                    0.0%
New Telesystems - TV, Ltd. (1)                           0.0%
SAREnet, S.A. (1)                                        0.0%
ORANGE- (1)                                              0.0%
MT-MPLS (2)                                              0.0%
Exetel Pty Ltd (1)                                       0.0%
31173 Services AB (1)                                    0.0%
Teleradiocompany Teleos-1 Ltd (1)                        0.0%
Nagasaki Cable Media Inc. (1)                            0.0%
Vodafone Net Iletisim Hizmetleri Anonim Sirketi (1)      0.0%
Cutting Edge Communications, Inc. (1)                    0.0%
Sc Cloud Troopers International Srl (1)                  0.0%
Pakistan Telecom Company Limited (2)                     0.0%
Center of Connection, Informatic and Telecommunica (1)   0.0%
GENERAL COMMUNICATION, INC. (1)                          0.0%
National Internet Backbone (1)                           0.0%
Aria Shatel Company Ltd (1)                              0.0%
MILLICOM CABLE COSTA RICA S.A. (1)                       0.0%
HeLi NET Telekommunication GmbH & Co. (1)                0.0%
The Computer Shop Netlink (1)                            0.0%
GPTC Autonomous System, Tripoli Libya (1)                0.0%
Digital Energy Technologies Limited (1)                  0.0%
Herault Telecom (1)                                      0.0%
CMB (1)                                                  0.0%
Telecom Service LLC (1)                                  0.0%
Spin Internet Service (1)                                0.0%
Telecom Argentina S.A. (1)                               0.0%
CABLEVISION S.A. (1)                                     0.0%
Microplex PTY LTD (1)                                    0.0%
Partner Communications Ltd. (1)                          0.0%
PT. Mediatama Telematika Nusantara (1)                   0.0%
Orange Cote D'ivoire (1)                                 0.0%
PJSC Telesystems of Ukraine (1)                          0.0%
Everest Broadcasting Company Ltd (1)                     0.0%
Andishe Sabz Khazar Co. P.j.s. (1)                       0.0%
Information Technology Company (ITC) (1)                 0.0%
Gigabit Hosting Sdn Bhd (1)                              0.0%
PJSC MegaFon (1)                                         0.0%
JSC Vostoktelecom (1)                                    0.0%
KhmelnitskInfocom LTD (1)                                0.0%


Copyright (C) 2017 by Tor Diversity Project <info@torbsd.org>
All Rights Reserved.

Released under an ISC license; see the GitHub repository
for details at https://github.com/torbsd/tdp-onion-stats/
